timestamp,open,high,low,close,volume,symbol
1719216000,127.0,127.0,126.1,126.48,0,NVDA
1719216300,126.43,126.61,126.05,126.41,0,NVDA
1719216600,126.43,126.6,126.36,126.51,0,NVDA
1719216900,126.51,126.51,126.18,126.3,0,NVDA
1719217200,126.3,126.39,126.27,126.33,0,NVDA
1719217500,126.37,126.37,126.29,126.31,0,NVDA
1719217800,126.31,126.31,125.55,125.6,0,NVDA
1719218100,125.59,125.85,125.57,125.59,0,NVDA
1719218400,125.59,125.99,125.51,125.88,0,NVDA
1719218700,125.85,125.95,125.82,125.85,0,NVDA
1719219000,125.83,125.87,125.58,125.59,0,NVDA
1719219300,125.57,125.83,125.57,125.8,0,NVDA
1719219600,125.8,125.8,125.52,125.55,0,NVDA
1719219900,125.52,125.7,125.51,125.55,0,NVDA
1719220200,125.52,125.59,125.35,125.48,0,NVDA
1719220500,125.47,125.47,125.21,125.22,0,NVDA
1719220800,125.22,125.3,125.03,125.04,0,NVDA
1719221100,125.04,125.12,124.85,124.85,0,NVDA
1719221400,124.9,124.94,124.36,124.38,0,NVDA
1719221700,124.38,124.73,124.3,124.7,0,NVDA
1719222000,124.7,124.8,124.37,124.41,0,NVDA
1719222300,124.41,124.47,123.66,123.66,0,NVDA
1719222600,123.69,123.7,122.8,122.85,0,NVDA
1719222900,122.86,123.33,122.54,123.15,0,NVDA
1719223200,123.16,123.65,123.15,123.54,0,NVDA
1719223500,123.54,123.69,123.15,123.29,0,NVDA
1719223800,123.27,123.28,122.95,123.12,0,NVDA
1719224100,123.1,123.79,123.1,123.71,0,NVDA
1719224400,123.7,123.85,123.59,123.59,0,NVDA
1719224700,123.57,124.18,123.52,124.18,0,NVDA
1719225000,124.17,124.24,123.7,123.71,0,NVDA
1719225300,123.7,124.07,123.67,123.85,0,NVDA
1719225600,123.8,124.01,123.56,124.0,0,NVDA
1719225900,123.95,124.04,123.75,123.75,0,NVDA
1719226200,123.77,123.88,123.52,123.83,0,NVDA
1719226500,123.83,123.95,123.65,123.95,0,NVDA
1719226800,123.94,124.36,123.88,124.35,0,NVDA
1719227100,124.34,124.47,124.07,124.08,0,NVDA
1719227400,124.1,124.29,123.88,124.13,0,NVDA
1719227700,124.13,124.68,124.1,124.53,0,NVDA
1719228000,124.58,124.65,124.3,124.35,0,NVDA
1719228300,124.36,124.39,124.16,124.27,0,NVDA
1719228600,124.25,124.29,123.96,123.96,0,NVDA
1719228900,123.95,124.3,123.93,124.18,0,NVDA
1719229200,124.23,124.4,124.16,124.33,0,NVDA
1719229500,124.3,124.5,124.3,124.4,0,NVDA
1719229800,124.41,124.41,123.9,123.96,0,NVDA
1719230100,123.96,124.0,123.76,123.9,0,NVDA
1719230400,126.9997,127.15,122.55,123.7603,0,NVDA
1719230700,123.78,124.0,123.69,123.98,0,NVDA
1719231000,123.98,124.12,123.75,123.75,0,NVDA
1719231300,123.76,124.53,123.655,124.27,0,NVDA
1719231600,124.29,124.45,124.15,124.38,0,NVDA
1719231900,124.39,124.59,124.3,124.5,0,NVDA
1719232200,124.5,131.11,124.26,124.34,0,NVDA
1719232500,124.315,124.34,123.97,124.0,0,NVDA
1719232800,124.0,124.22,123.9,124.2,0,NVDA
1719233100,124.24,124.25,124.09,124.095,0,NVDA
1719233400,124.09,124.1,123.8,123.89,0,NVDA
1719233700,123.89,123.92,123.56,123.6182,0,NVDA
1719234000,123.57,123.62,123.4,123.44,0,NVDA
1719234300,123.44,123.5,123.22,123.235,0,NVDA
1719234600,123.22,123.34,123.15,123.27,0,NVDA
1719234900,123.2702,123.58,123.21,123.58,0,NVDA
1719235200,123.55,123.73,123.54,123.63,0,NVDA
1719235500,123.65,123.68,122.98,123.23,0,NVDA
1719235800,122.94000244140624,124.45999908447266,122.88999938964844,124.0749969482422,33753576,NVDA
1719236100,124.08350372314452,124.3000030517578,123.37000274658205,124.04759979248048,7736345,NVDA
1719236400,124.02999877929688,124.04000091552734,122.53009796142578,122.9800033569336,9485391,NVDA
1719236700,122.9800033569336,123.45999908447266,121.58000183105467,121.66000366210938,13216007,NVDA
1719237000,121.68000030517578,122.98999786376952,121.47000122070312,122.9800033569336,9822631,NVDA
1719237300,122.9800033569336,122.98999786376952,122.3000030517578,122.61000061035156,6288940,NVDA
1719237600,122.61000061035156,123.55999755859376,122.53309631347656,123.41000366210938,6659925,NVDA
1719237900,123.41000366210938,123.9000015258789,123.18000030517578,123.8498992919922,4850218,NVDA
1719238200,123.8291015625,123.83000183105467,122.7406005859375,122.83999633789062,5105914,NVDA
1719238500,122.83000183105467,122.91000366210938,122.36000061035156,122.5999984741211,4487097,NVDA
1719238800,122.58999633789062,122.58999633789062,121.81999969482422,121.81999969482422,6157396,NVDA
1719239100,121.81999969482422,122.04000091552734,120.73999786376952,120.88999938964844,10611969,NVDA
1719239400,120.8499984741211,121.8000030517578,120.72000122070312,121.43000030517578,7741392,NVDA
1719239700,121.43000030517578,121.88999938964844,121.33000183105467,121.36000061035156,5174527,NVDA
1719240000,121.36000061035156,121.41999816894533,119.12000274658205,119.25990295410156,17925338,NVDA
1719240300,119.26000213623048,120.0,118.29000091552734,118.41999816894533,15478447,NVDA
1719240600,118.43499755859376,119.45999908447266,118.3000030517578,119.2699966430664,10918235,NVDA
1719240900,119.26490020751952,120.5,119.23999786376952,120.43000030517578,9427788,NVDA
1719241200,120.44000244140624,120.52999877929688,119.5,119.8249969482422,7269824,NVDA
1719241500,119.82769775390624,120.4800033569336,119.62059783935548,120.33999633789062,4967422,NVDA
1719241800,120.33000183105467,120.68990325927734,120.22000122070312,120.27999877929688,4606421,NVDA
1719242100,120.29000091552734,120.8499984741211,119.7699966430664,120.44499969482422,5538413,NVDA
1719242400,120.4499969482422,120.5999984741211,119.3000030517578,119.38919830322266,5551455,NVDA
1719242700,119.38990020751952,119.9800033569336,118.81999969482422,119.81999969482422,7078774,NVDA
1719243000,119.8249969482422,120.5,119.37999725341795,120.47000122070312,4825908,NVDA
